iter	RMSE
0	1304.318489
1	1270.269085
2	1237.253075
3	1205.225356
4	1174.689172
5	1146.103595
6	1118.357344
7	1091.884034
8	1066.789456
9	1042.47932
10	1019.277168
11	997.1159582
12	975.966068
13	955.448051
14	936.6682714
15	917.6003202
16	899.9972255
17	883.1167723
18	866.400037
19	851.4432379
20	837.0100392
21	823.359055
22	810.6227018
23	798.1617527
24	786.6553206
25	775.3877573
26	764.3409821
27	753.7121281
28	744.1804025
29	735.1362576
30	725.9655545
31	717.7085785
32	709.8177854
33	702.2257147
34	695.2776727
35	688.7622824
36	682.2107902
37	676.0885075
38	670.4488405
39	664.814429
40	659.4979532
41	654.3814795
42	649.9329981
43	645.5168867
44	641.4052868
45	637.0516417
46	633.4558062
47	629.9437728
48	626.753779
49	623.5557401
50	620.5338929
51	617.7739602
52	615.0177375
53	612.6165007
54	610.3009745
55	607.9798269
56	605.7361455
57	603.5684017
58	601.3135109
59	599.2950622
60	597.5506225
61	595.9030536
62	594.4467586
63	592.9648437
64	591.5496164
65	590.1918127
66	588.9760966
67	587.8570677
68	586.8117694
69	585.6937064
70	584.6856711
71	583.8069361
72	582.8219779
73	581.9325561
74	581.0591027
75	580.2392617
76	579.4480014
77	578.574107
78	577.8322988
79	577.2371436
80	576.6710586
81	576.0682629
82	575.4357357
83	574.8369256
84	574.3964168
85	573.8565552
86	573.3847275
87	572.9571115
88	572.4296375
89	571.9086248
90	571.5100037
91	570.9789511
92	570.55545
93	570.1601599
94	569.7564612
95	569.483521
96	569.1700429
97	568.7465763
98	568.3130879
99	568.0165251
100	567.6351303
101	567.371947
102	567.1325034
103	566.823102
104	566.4990937
105	566.198933
106	565.9521797
107	565.6914802
108	565.4007033
109	565.0581894
110	564.8573333
111	564.5016375
112	564.2739792
113	564.0566119
114	563.9629714
115	563.7869563
116	563.6350841
117	563.4968768
118	563.2376433
119	562.9402345
120	562.7661247
121	562.4662533
122	562.388841
123	562.1946949
124	562.0357877
125	561.9097695
126	561.7391859
127	561.5433584
128	561.3794203
129	561.2171022
130	561.1014785
131	560.9335497
132	560.7691635
133	560.6383107
134	560.4582332
135	560.3415304
136	560.1268343
137	560.0097873
138	559.8837999
139	559.7176455
140	559.5491585
141	559.3481968
142	559.3172594
143	559.1570695
144	558.9821422
145	558.7898313
146	558.7064116
147	558.640896
148	558.5327315
149	558.4294637
150	558.2563335
151	558.1352204
152	557.9811175
153	557.8243473
154	557.7427597
155	557.64221
156	557.5672312
157	557.4414099
158	557.2940639
159	557.1263093
160	557.046995
161	556.9496025
162	556.7404284
163	556.6653639
164	556.4764017
165	556.3720896
166	556.2694662
167	556.1298553
168	556.019651
169	555.9470076
170	555.7965514
171	555.7535602
172	555.67933
173	555.5198875
174	555.4256398
175	555.3335248
176	555.2409935
177	555.1361425
178	555.0547038
179	554.9622291
180	554.80858
181	554.7275051
182	554.6621124
183	554.5982932
184	554.5435532
185	554.4513913
186	554.2595745
187	554.1464046
188	554.0234599
189	553.9697255
190	553.8599452
191	553.7609747
192	553.6820077
193	553.5587906
194	553.4303242
195	553.2818962
196	553.1899047
197	553.1075517
