iter	Passed	Remaining
0	3	1355
1	5	1264
2	8	1235
3	11	1209
4	14	1193
5	16	1179
6	19	1170
7	22	1165
8	25	1160
9	27	1154
10	30	1149
11	33	1145
12	36	1143
13	38	1142
14	41	1136
15	44	1135
16	47	1132
17	50	1132
18	52	1128
19	55	1124
20	58	1119
21	60	1115
22	63	1111
23	66	1109
24	69	1108
25	72	1106
26	74	1103
27	77	1102
28	80	1099
29	82	1092
30	85	1087
31	88	1081
32	90	1075
33	93	1070
34	95	1065
35	98	1060
36	100	1056
37	103	1053
38	106	1049
39	108	1044
40	111	1040
41	113	1036
42	116	1032
43	118	1027
44	121	1023
45	123	1018
46	126	1014
47	128	1010
48	131	1005
49	133	1001
50	136	998
51	138	994
52	141	989
53	143	986
54	146	982
55	148	979
56	151	975
57	153	972
58	156	969
59	158	966
60	161	963
61	163	960
62	166	956
63	169	953
64	171	949
65	174	947
66	176	943
67	179	940
68	181	937
69	184	935
70	186	931
71	189	928
72	192	925
73	194	922
74	196	919
75	199	915
76	201	912
77	204	909
78	206	905
79	209	902
80	211	899
81	214	896
82	216	893
83	219	891
84	221	887
85	224	884
86	227	882
87	229	879
88	232	876
89	234	872
90	236	869
91	239	866
92	241	863
93	244	860
94	246	857
95	249	853
96	251	850
97	254	847
98	256	844
99	258	841
100	261	839
101	264	836
102	266	833
103	269	830
104	271	827
105	274	824
106	276	822
107	279	819
108	281	816
109	284	813
110	286	810
111	289	807
112	291	804
113	293	801
114	295	796
115	298	794
116	300	791
117	302	788
118	305	785
119	308	783
120	310	780
121	313	777
122	315	775
123	318	772
124	320	770
125	323	767
126	325	764
127	328	761
128	330	759
129	333	756
130	335	753
131	338	751
132	340	748
133	343	745
134	345	742
135	348	740
136	350	737
137	353	734
138	355	732
139	358	729
140	360	726
141	363	724
142	365	721
143	368	718
144	370	716
145	373	713
146	375	710
147	378	708
148	380	705
149	383	702
150	385	700
151	388	697
152	390	694
153	393	691
154	395	689
155	398	686
156	400	683
157	403	681
158	405	678
159	408	676
160	410	673
161	413	670
162	415	668
163	418	665
164	420	662
165	423	660
166	425	657
167	428	655
168	430	652
169	433	649
170	435	647
171	438	644
172	441	642
173	443	639
174	445	637
175	448	634
176	450	631
177	453	629
178	456	626
179	458	624
180	461	621
181	463	618
182	466	616
183	468	613
184	471	611
185	473	608
186	476	605
187	478	603
188	481	601
189	483	598
190	486	595
191	489	593
192	491	590
193	493	588
194	496	585
195	499	583
196	501	580
197	503	577
198	506	575
199	508	572
200	511	569
201	513	567
202	516	564
203	518	562
204	521	559
205	523	556
206	527	555
207	529	552
208	532	549
209	534	547
210	537	544
211	539	542
212	542	539
213	544	537
214	547	534
215	549	531
216	552	529
217	554	526
218	557	523
219	559	521
220	562	518
221	564	516
222	567	513
223	569	511
224	570	507
225	573	504
226	575	502
227	578	499
228	580	497
229	583	494
230	585	492
231	588	489
232	591	487
233	593	484
234	595	481
235	598	479
236	600	476
237	603	474
238	606	471
239	608	469
240	611	466
241	613	464
242	616	461
243	618	458
244	621	456
245	623	453
246	626	451
247	628	448
248	631	446
249	633	443
250	636	440
251	638	438
252	641	435
253	643	433
254	646	430
255	648	428
256	651	425
257	654	423
258	656	420
259	659	418
260	661	415
261	664	413
262	666	410
263	669	408
264	671	405
265	674	402
266	676	400
267	679	397
268	681	395
269	684	392
270	686	390
271	689	387
272	692	385
273	694	382
274	697	380
275	699	377
276	702	375
277	705	372
278	707	370
279	710	367
280	712	365
281	715	362
282	717	360
283	720	357
284	722	355
285	725	352
286	727	349
287	730	347
288	732	344
289	735	342
290	737	339
291	740	337
292	742	334
293	745	332
294	747	329
295	748	326
296	751	323
297	753	321
298	756	318
299	758	316
300	760	313
301	763	310
302	766	308
303	768	305
304	770	303
305	773	300
306	775	298
307	778	295
308	780	293
309	783	290
310	785	288
311	788	285
312	790	282
313	793	280
314	795	277
315	798	275
316	800	272
317	803	270
318	805	267
319	808	265
320	810	262
321	813	260
322	815	257
323	818	255
324	820	252
325	823	250
326	825	247
327	828	244
328	830	242
329	833	239
330	835	237
331	838	234
332	840	232
333	843	229
334	845	227
335	848	224
336	851	222
337	853	219
338	855	217
339	858	214
340	860	212
341	863	209
342	865	207
343	868	204
344	870	201
345	873	199
346	875	196
347	878	194
348	880	191
349	883	189
350	885	186
351	888	184
352	890	181
353	893	179
354	895	176
355	898	174
356	900	171
357	903	169
358	906	166
359	908	164
360	911	161
361	913	159
362	916	156
363	918	153
364	921	151
365	923	148
366	926	146
367	928	143
368	931	141
369	933	138
370	936	136
371	938	133
372	941	131
373	943	128
374	946	126
375	948	123
376	951	121
377	953	118
378	956	116
379	959	113
380	961	111
381	964	108
382	966	105
383	968	103
384	971	100
385	973	98
386	976	95
387	978	93
388	981	90
389	984	88
390	986	85
391	989	83
392	991	80
393	994	78
394	996	75
395	999	73
396	1001	70
397	1004	68
398	1006	65
399	1009	63
400	1011	60
401	1014	58
402	1016	55
403	1019	52
404	1021	50
405	1024	47
406	1026	45
407	1029	42
408	1031	40
409	1034	37
410	1036	35
411	1038	32
412	1041	30
413	1043	27
414	1046	25
415	1049	22
416	1051	20
417	1053	17
418	1056	15
419	1058	12
420	1061	10
421	1063	7
422	1066	5
423	1068	2
424	1071	0
