iter	RMSE
0	1308.723122
1	1274.559909
2	1241.568275
3	1209.708786
4	1179.090003
5	1150.896068
6	1123.124731
7	1096.496705
8	1071.142508
9	1046.755373
10	1023.133111
11	1000.921576
12	979.6734844
13	959.3707757
14	940.4176864
15	921.224529
16	903.484524
17	886.4671959
18	870.3376007
19	855.3144828
20	840.2487771
21	826.3978699
22	813.6500313
23	801.1279094
24	789.4488943
25	777.9637936
26	766.9000196
27	756.5449114
28	747.2284863
29	738.1688059
30	728.8094714
31	720.2753203
32	712.4396964
33	705.2545933
34	698.1447652
35	691.5497555
36	684.8453862
37	678.6222178
38	672.9343805
39	667.316614
40	662.1924961
41	656.8113556
42	652.3729946
43	647.8234032
44	643.6367962
45	639.5329531
46	635.9780434
47	632.5647772
48	629.2448871
49	625.9844536
50	622.8948557
51	620.2966518
52	617.4758879
53	615.0923663
54	612.723295
55	610.2307055
56	607.9445603
57	605.7846629
58	603.6476287
59	601.7637052
60	599.8862322
61	598.155102
62	596.7241192
63	595.0743146
64	593.6341716
65	592.2154245
66	590.8764628
67	589.5797536
68	588.419336
69	587.2577776
70	586.1050157
71	585.1344474
72	584.101169
73	583.1481335
74	582.2686794
75	581.4532383
76	580.6146591
77	579.8604953
78	579.0807163
79	578.477581
80	577.8990432
81	577.2279307
82	576.6905769
83	576.0348956
84	575.5904192
85	574.9270773
86	574.4104436
87	573.8321925
88	573.2607995
89	572.7599523
90	572.302335
91	571.7612003
92	571.3123162
93	570.9100489
94	570.4813174
95	570.0331582
96	569.6358061
97	569.1397721
98	568.7913307
99	568.4818132
100	568.1733005
101	567.8688432
102	567.6249842
103	567.2821754
104	566.9865295
105	566.6462566
106	566.419354
107	566.1264535
108	565.8701139
109	565.5307824
110	565.3623984
111	565.1045454
112	564.9299902
113	564.7407302
114	564.5617168
115	564.3275988
116	564.1700278
117	563.9579329
118	563.9418787
119	563.7315473
120	563.5224129
121	563.2131946
122	562.9878951
123	562.7498118
124	562.6007106
125	562.41816
126	562.3358623
127	562.1068211
128	561.9587973
129	561.8670836
130	561.6723867
131	561.6230668
132	561.4803634
133	561.2219654
134	560.9795138
135	560.7100873
136	560.4927735
137	560.3031246
138	560.2073144
139	560.0124697
140	559.8705418
141	559.7307841
142	559.6697499
143	559.4205849
144	559.292553
145	558.9658628
146	558.7932652
147	558.7049069
148	558.5441925
