iter	Passed	Remaining
0	3	1318
1	5	1223
2	8	1253
3	11	1207
4	14	1214
5	17	1191
6	19	1180
7	22	1190
8	25	1196
9	28	1178
10	31	1169
11	33	1161
12	36	1157
13	39	1151
14	41	1143
15	44	1138
16	46	1127
17	50	1130
18	52	1126
19	55	1124
20	58	1116
21	60	1108
22	62	1097
23	65	1088
24	67	1081
25	69	1073
26	72	1066
27	74	1058
28	77	1053
29	79	1050
30	82	1045
31	84	1043
32	87	1039
33	90	1038
34	92	1034
35	95	1028
36	97	1025
37	100	1018
38	102	1015
39	105	1011
40	107	1008
41	109	1002
42	112	997
43	114	992
44	117	988
45	119	984
46	121	979
47	124	974
48	126	970
49	129	968
50	131	965
51	134	962
52	136	960
53	140	961
54	142	960
55	145	957
56	147	955
57	150	953
58	153	952
59	156	949
60	158	947
61	161	945
62	164	943
63	166	941
64	169	941
65	172	937
66	175	936
67	178	934
68	180	932
69	183	930
70	185	926
71	188	923
72	190	919
73	193	918
74	196	915
75	198	910
76	200	907
77	203	903
78	205	900
79	207	896
80	210	892
81	212	889
82	214	885
83	217	882
84	219	878
85	222	875
86	224	872
87	226	868
88	229	865
89	231	862
90	234	858
91	236	856
92	239	854
93	241	851
94	244	848
95	246	846
96	249	842
97	251	839
98	253	835
99	256	833
100	259	831
101	261	829
102	264	826
103	266	823
104	269	819
105	271	816
106	273	813
107	275	809
108	278	806
109	280	803
110	283	800
111	285	797
112	287	795
113	290	791
114	292	788
115	295	785
116	297	782
117	299	779
118	300	772
119	302	769
120	305	766
121	307	763
122	309	760
123	312	757
124	314	754
125	316	751
126	319	748
127	321	745
128	323	742
129	326	739
130	328	737
131	330	734
132	333	731
133	335	728
134	337	725
135	339	722
136	342	719
137	344	716
138	346	713
139	349	711
140	351	708
141	353	705
142	356	702
143	358	699
144	361	697
145	363	694
146	365	691
147	367	688
148	370	686
149	372	683
150	375	680
151	377	677
152	379	675
153	382	672
154	384	669
155	386	667
156	389	664
157	392	662
158	394	660
159	397	657
160	399	655
161	401	652
162	404	649
163	406	647
164	409	644
165	411	642
166	414	640
167	417	638
168	419	635
169	422	633
170	424	630
171	427	628
172	429	626
173	432	623
174	435	621
175	437	618
176	440	616
177	442	614
178	444	611
179	447	608
180	449	606
181	452	604
182	454	601
183	457	599
184	459	596
185	462	594
186	464	591
187	467	589
188	470	587
189	471	583
190	474	580
191	476	578
192	478	575
193	481	573
194	483	570
195	486	567
196	488	565
197	490	562
198	493	560
199	495	557
200	497	554
201	500	552
202	502	549
203	504	546
204	507	544
205	509	541
206	511	539
207	514	536
208	516	533
209	519	531
210	521	528
211	523	526
212	526	523
213	528	521
214	530	518
215	533	515
216	535	513
217	538	511
218	539	507
219	541	505
220	544	502
221	546	499
222	549	497
223	551	494
224	553	492
225	556	489
226	558	487
227	561	484
228	563	482
229	565	479
230	568	477
231	570	474
232	572	471
233	575	469
234	577	466
235	579	464
236	582	461
237	584	459
238	586	456
239	589	454
240	591	451
241	594	449
242	596	446
243	599	444
244	601	442
245	604	439
246	606	437
247	608	434
248	611	431
249	613	429
250	615	427
251	618	424
252	620	421
253	622	419
254	625	416
255	627	414
256	630	411
257	632	409
258	634	406
259	637	404
260	639	401
261	642	399
262	644	396
263	646	394
264	649	392
265	651	389
266	654	387
267	656	384
268	659	382
269	661	379
270	664	377
271	666	374
272	668	372
273	671	370
274	674	367
275	676	365
276	679	362
277	681	360
278	684	358
279	686	355
280	689	353
281	691	350
282	694	348
283	696	345
284	698	343
285	701	340
286	703	338
287	706	336
288	708	333
289	711	331
290	713	328
291	715	326
292	718	323
293	720	321
294	723	318
295	725	316
296	727	313
297	730	311
298	732	308
299	735	306
300	737	303
301	739	301
302	742	298
303	744	296
304	747	293
305	749	291
306	751	288
307	754	286
308	756	283
309	758	281
310	761	279
311	763	276
312	765	274
313	768	271
314	770	269
315	773	266
316	775	264
317	777	261
318	780	259
319	782	256
320	784	254
321	787	251
322	789	249
323	791	246
324	794	244
325	796	241
326	799	239
327	801	237
328	803	234
329	806	232
330	808	229
331	810	227
332	813	224
333	815	222
334	817	219
335	819	217
336	822	214
337	824	212
338	826	209
339	828	207
340	831	204
341	833	202
342	835	199
343	838	197
344	840	194
345	842	192
346	844	189
347	847	187
348	849	185
349	852	182
350	854	180
351	856	177
352	859	175
353	861	172
354	863	170
355	865	167
356	867	165
357	870	162
358	872	160
359	874	157
360	876	155
361	879	153
362	881	150
363	883	148
364	885	145
365	888	143
366	890	140
367	892	138
368	894	135
369	896	133
370	898	130
371	901	128
372	903	125
373	905	123
374	907	120
375	909	118
376	911	116
377	914	113
378	916	111
379	918	108
380	920	106
381	922	103
382	924	101
383	926	98
384	929	96
385	931	94
386	933	91
387	935	89
388	937	86
389	940	84
390	942	81
391	944	79
392	946	77
393	948	74
394	950	72
395	952	69
396	954	67
397	957	64
398	959	62
399	961	60
400	963	57
401	965	55
402	967	52
403	969	50
404	972	48
405	974	45
406	976	43
407	978	40
408	980	38
409	983	35
410	985	33
411	987	31
412	989	28
413	991	26
414	993	23
415	996	21
416	998	19
417	1000	16
418	1002	14
419	1004	11
420	1006	9
421	1008	7
422	1011	4
423	1013	2
424	1015	0
